S.no.,Year,State,TFR,Pop,PR,Birth,BR
1,2010,andaman & nicobar islands,1.59,380572,0.096029135,28926,0.02696536
2,2010,andhra pradesh,1.77,84573062,0.04686698,7020689,-0.035689517
3,2010,arunachal pradesh,1.86,1383715,0.094695078,116947,0.077787374
4,2010,assam,2.53,31205555,0.073214336,3539909,-0.028165978
5,2010,bihar,3.41,104097888,0.08211792,13015567,-0.015003495
6,2010,chandigarh,1.62,1055439,0.154080909,84107,0.127100004
7,2010,chhattisgarh,2.6,25545172,0.071287091,2932443,0.007198094
8,2010,dadra & nagar haveli,2.69,343696,0.217386877,43276,-0.000485257
9,2010,daman & diu,1.94,243237,0.236612851,20851,0.044074625
10,2010,goa,1.45,1458549,0.076740651,91365,-0.0069392
11,2010,gujarat,2.3,60438714,0.076533048,6044601,-0.04518462
12,2010,haryana,2.28,25351428,0.092038602,2601643,-0.018098947
13,2010,himachal pradesh,1.75,6864577,0.052927369,536254,-0.01217893
15,2010,jammu & kashmir,1.9,12541291,0.050594153,962806,0.005557714
16,2010,jharkhand,2.71,32987549,0.075827883,3640455,-0.014341065
17,2010,karnataka,1.85,61095262,0.05370968,5222757,-0.016317244
18,2010,kerala,1.92,33406042,0.040864494,2590867,-0.063312397
19,2010,lakshadweep,1.43,64456,0.104939804,4051,0.031350284
20,2010,madhya pradesh,2.82,72626701,0.081340897,8704674,0.000593015
21,2010,maharashtra,1.9,112372846,0.069606309,9499529,-0.007558901
22,2010,manipur,1.34,2855763,0.032620354,183302,-0.001593
23,2010,meghalaya,2.09,2966879,0.070284632,273453,0.060394291
24,2010,mizoram,1.44,1097194,0.032121029,72678,-0.004292908
25,2010,nagaland,1.47,1978487,0.044102387,131528,0.052931695
26,2010,nct of delhi,1.7,16787911,0.131078191,1385914,0.07132405
27,2010,odisha,2.13,41973881,0.049487299,3914258,-0.016894645
28,2010,puducherry,1.8,1247947,0.095402289,107157,-0.028966843
29,2010,punjab,1.71,27743269,0.055896153,2116660,-0.007963017
30,2010,rajasthan,2.89,68547374,0.089264966,8432683,-0.004312625
31,2010,sikkim,1.53,610566,0.071428805,47115,0.049899183
32,2010,tamil nadu,1.81,72146966,0.042312452,5752333,-0.05617373
33,2010,tripura,1.38,3673920,0.046180374,241353,-0.030134285
34,2010,uttar pradesh,3.23,199798942,0.081170145,25705557,0.035225302
35,2010,uttarakhand,2.11,10086264,0.070434306,951074,0.02147467
36,2010,west bengal,1.72,91275935,0.047977597,7179331,-0.009228994
37,2015,andaman & nicobar islands,1.58,417118,0.088492944,29706,0.022823672
38,2015,andhra pradesh,1.72,88536746,0.041075002,6770124,-0.051429634
39,2015,arunachal pradesh,1.7,1514746,0.092531685,126044,0.060780362
40,2015,assam,2.35,33490249,0.064267841,3440204,-0.01949739
41,2015,bihar,2.97,112646190,0.071298612,12820288,0.047290435
42,2015,chandigarh,1.58,1218062,0.142877785,94797,0.057248647
43,2015,chhattisgarh,2.47,27366213,0.065669006,2953551,-0.051037548
44,2015,dadra & nagar haveli,2.38,418411,0.18331975,43255,0.028043001
45,2015,daman & diu,1.86,300790,0.204750823,21770,0.052916858
46,2015,goa,1.39,1570479,0.070855452,90731,-0.008640928
47,2015,gujarat,2.11,65064273,0.065922369,5771478,-0.040612474
48,2015,haryana,2.08,27684738,0.083269634,2554556,-0.018880385
49,2015,himachal pradesh,1.72,7227901,0.048878782,529723,-0.020093521
51,2015,jammu & kashmir,1.75,13175807,0.047695447,968157,0.017501294
52,2015,jharkhand,2.42,35488925,0.066379751,3588247,0.025298704
53,2015,karnataka,1.84,64376669,0.048744709,5137536,-0.04001062
54,2015,kerala,1.85,34771163,0.029783905,2426833,-0.057697831
55,2015,lakshadweep,1.37,71220,0.099101376,4178,0.03709909
56,2015,madhya pradesh,2.57,78534222,0.074657097,8709836,-0.007578443
57,2015,maharashtra,1.83,120194705,0.064117542,9427723,-0.034993073
58,2015,manipur,1.31,2948919,0.030278553,183010,-0.02890006
59,2015,meghalaya,1.93,3175405,0.070397004,289968,0.05225749
60,2015,mizoram,1.37,1132437,0.031885217,72366,-0.014633944
61,2015,nagaland,1.42,2065743,0.044820677,138490,0.020651311
62,2015,nct of delhi,1.63,18988440,0.124995208,1484763,0.063817592
63,2015,odisha,2,44051055,0.044987685,3848128,-0.019278725
64,2015,puducherry,1.71,1367004,0.081099982,104053,-0.018202262
65,2015,punjab,1.67,29294011,0.053131577,2099805,-0.039989428
66,2015,rajasthan,2.6,74666253,0.079646142,8396316,-0.017998846
67,2015,sikkim,1.5,654178,0.070326425,49466,-0.008005499
68,2015,tamil nadu,1.77,75199681,0.033236551,5429203,-0.058592394
